Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Phan Thị,Thần Đồng Đất Việt Khoa Học 156: Chiếc Vòng Pháp Thuật,"Niềm tin của Cả Mẹo rốt cục đã làm nên một chuyện động trời. Khi Mẹo vừa giơ cao chiếc vòng, Mặt Trời đột nhiên biến mất. Trời đất tối thui tối mò. Cả làng náo loạn. Chiếc vòng thần bí còn có năng lực “điều khiển” cả Mặt Trời?",Phan Thị,15000,72,12500,07/03/2017,NXB Đại Học Sư Phạm TpHCM,Hết hàng,110
Phan Thị,Thần Đồng Đất Việt 213: Quốc Phẩm Ẩn Hình,"Lệnh vua ban mới hấp dẫn làm sao! Dân làng Phan Thị cũng hí hửng lao vào “cuộc đua quốc phẩm”. Kẻ thì đề xuất dâng… thuốc độc (eo ôi!), người thì đòi dâng cái gì rẻ rẻ cho đỡ tốn tiền (xí hổ quốc thể quá!). Cuối cùng, sau những màn đấu khẩu “nảy lửa”, trạng Tý quyết định dâng lên nhà vua… một chiếc nón lá.",Phan Thị,15000,116,13000,Đang,NXB Đại Học Sư Phạm TpHCM,Hết hàng,200
Nguyễn Hoàng Ánh,Học Cách Mỉm Cười,"Cuốn sách này quả là một món quà quý cho các bạn trẻ thời nay khi có quá nhiều nỗi băn khoăn lo lắng trước các ngã rẽ của cuộc đời. Cuốn sách không phải được viết ra bởi một giảng viên đại học, nó được viết ra từ trái tim và tấm lòng của một người mẹ, người chị khá hiện đại với những góc nhìn mới mẻ đôi khi đi ngược lại với những định kiến xưa cũ. Sự thông minh, thẳng thắn, chân tình và ấm áp là những gì tôi cảm nhận được xuyên suốt cuốn sách. Và nó đã khiến tôi mỉm cười tin rằng cuốn sách sẽ truyền cảm hứng mạnh mẽ tới người đọc và chắc chắn nó sẽ giúp các bạn trẻ nhìn nhận rõ con đường mình sẽ đi.'",Alphabooks,79000,200,67000,17/07/2017,NXB Lao Động Xã Hội,Hết hàng,350
Kim Lân,Anh Chàng Hiệp Sĩ Gỗ,"chuyên hành hiệp trượng nghĩa, san bằng những bất công ngang trái trên sân khấu múa rối, khiến bao em nhỏ mến phục. Một đêm, chàng nghe thấy những con người khốn khổ kể về nỗi bất hạnh của họ, chàng nhận ra bao đau khổ lâu nay chàng chứng kiến trên sân khấu rối chẳng có nghĩa lí gì! Chàng mong được thành người thật, dùng thanh gươm báu cứu giúp những kiếp người đau khổ. Mụ phù thủy biết ý định của chàng, giả làm bà tiên hứa biến chàng thành người, với điều kiện chàng phải làm điều ác…",NXB Kim Đồng,18000,44,15000,01/06/2017,NXB Kim Đồng,Hết hàng,100
Nhiều tác giả,Nếu Như Không Có Điện - Khám Phá Vương Quốc Điện,"Điện được dùng trong cuộc sống và sinh hoạt của con người. Điện còn được dùng trong các hoạt động sản xuất, tạo ra của cải vật chất to lớn.",Đinh Tị,45000,120,38000,07/06/2017,NXB Thế Giới,Hết hàng,264
Đông A biên soạn,Tầng Ba,,Đông A,250000,120,212500,02/08/2017,NXB Văn Học,Hết hàng,370
Nhiều tác giả,"Nếu Như Không Có Điện - Điện, Mười Phần Nguy Hiểm, Vô Cùng Cẩn Thận","Điện được dùng trong cuộc sống và sinh hoạt của con người. Điện còn được dùng trong các hoạt động sản xuất, tạo ra của cải vật chất to lớn.",Đinh Tị,45000,112,38000,12/06/2017,NXB Thế Giới,Hết hàng,264
Ngọc Khánh,Truyện Kể Về Thời Niên Thiếu Của Các Nhân Vật Kiệt Xuất,Trẻ nhỏ giống như một mầm cây. Các em lớn lên trở thành những cây trái xanh tươi hay không phụ thuộc rất nhiều vào thời niên thiếu các em đã sống thế nào.,Đinh Tị,39000,140,33000,07/06/2017,NXB Thanh Niên,Hết hàng,240
Khương Nhi,Con Vật Nào Cũng Có Mẹ,,NXB Trẻ,22000,24,18500,31/07/2017,NXB Trẻ,Hết hàng,150
Hoàng Thư,Giờ Khắc Sinh Tử,không chỉ là câu chuyện cảm động của những con người trong giây phút sinh tử.,Hoàng Thư,88000,192,74500,05/06/2017,NXB Thanh Niên,Hết hàng,300
Petra Maria Schmitt,Các Phi Hành Gia Đi Vệ Sinh Vào Đâu?,Gà con chui vào trứng ra sao?,NXB Kim Đồng,89000,128,75500,12/06/2017,NXB Kim Đồng,Hết hàng,286
Nguyễn Kim Huy,Triền Sông Thơ Ấu,"“… Các truyện về tuổi thơ của Nguyễn Kim Huy được đồng hiện một cách chân thật, khiến ta như thấy hiện ra trước mắt mình cả một không gian và thời gian không bình yên và nhiều buồn xót. Hình ảnh Hanh gắn với những bến bờ thao thức của con sông Trầu từ tuổi ấu thơ, để giờ đây trong cách xa biền biệt, anh lại nhớ nó da diết… (Triền sông thơ ấu). Đọc “Ma đồng Bộng”, tôi rợn chân da khi tác giả tả cảnh mênh mông trong đêm khuya đen thẳm trên cánh đồng Bộng - nơi nổi tiếng có đủ loại ma: ma da, ma le, ma Hời…",NXB Kim Đồng,28000,128,23500,13/06/2017,NXB Kim Đồng,Hết hàng,230
Nguyễn Thị Hậu,Nghĩ Ngợi Đường Xa,"Không ít lần tôi tự hỏi, nếu được bắt đầu một lần nữa tuổi trẻ, nghề nghiệp, các cơ hội thay đổi cuộc sống… tôi có chọn",NXB Văn Hóa - Văn Nghệ,82000,252,69500,13/06/2017,NXB Văn Hoá - Văn Nghệ,Hết hàng,350
Kimanzi Constable,Sống Hay Chỉ Tồn Tại?,"Bạn mơ ước điều gì trong cuộc sống? Bạn có đang làm công việc yêu thích? Bạn có vui đùa với con cái mỗi ngày? Bạn có đọc, viết hay làm điều gì mang tính trí tuệ? Hay bạn thức dậy, đi làm, trở về nhà, và xem tivi mỗi tối? Nếu không còn năng lượng để làm bất cứ việc gì vì tình trạng quá tải của mình, giờ là lúc bạn thay đổi.",Văn Lang,60000,152,51000,26/06/2017,NXB Thanh Hóa,Hết hàng,352
Hoàng Đăng Khoa,Phiêu Lưu Chữ,"""Tất cả mọi sự gặp gỡ của ngôn ngữ nghệ thuật đều là sự gặp gỡ với một câu chuyện không có kết thúc, sự gặp gỡ cũng là bộ phận của câu chuyện.""",NXB Tổng Hợp,70000,256,59500,14/06/2017,NXB Tổng Hợp,Hết hàng,350
Albert Camus,Người Xa Lạ,"của Albert Camus được khởi thảo năm 1938, hoàn tất năm 1940 và xuất bản lần đầu năm 1942.",Dtbooks,77000,152,65000,19/07/2017,NXB Hội Nhà Văn,Hết hàng,260
Kiều Bích Hậu,Hoa Hồng Không Ở Cùng Mắm Tôm,là tập truyện gồm những truyện ngắn mới nhất của nhà văn,NXB Phụ Nữ,45000,176,38000,11/06/2017,NXB Phụ Nữ,Hết hàng,220
Phạm Hổ,Chuyện Hoa Chuyện Quả,Đây là tác phẩm nổi tiếng của nhà văn,NXB Kim Đồng,100000,112,85000,22/06/2012,NXB Kim Đồng,Hết hàng,250
Băng Sơn,Thú Lang Thang Người Hà Nội,Trong cuốn tản văn,Huy Hoàng,86000,292,73000,28/06/2017,NXB Hà Nội,Hết hàng,400
Ngọc Linh,Đôi Mắt Người Xưa,"Vào giúp việc ở phòng mạch bác sĩ Vũ, trên một năm nay. Liễu đã quen với giờ giấc của bác sĩ. Mỗi sáng, nàng chỉ cần đến trước bác sĩ độ mười phút để đủ thời giờ thay ""blouse"" và sắp sửa lại các dụng cụ làm việc trên bàn.",NXB Văn Hóa - Văn Nghệ,158000,592,134000,05/06/2017,NXB Văn Hoá - Văn Nghệ,Hết hàng,840
Dương Hà Ngân,Tuần Của Bé - Bé Chân Thành,Học cùng con thế nào? Chơi cùng con ra sao?,Phúc Minh,23000,24,19500,01/06/2017,NXB Mỹ Thuật,Hết hàng,150
Dương Hà Ngân,Tuần Của Bé - Bé Tốt Bụng,"Từ 3-6 tuổi là giai đoạn quan trọng hình thành tính cách, tư duy của trẻ, nhưng cũng là giai đoạn mà cha mẹ lúng túng nhất trong việc nuôi dạy con cái. Công việc bận rộn, thời gian ít ỏi, câu hỏi đặt ra với các bậc phụ huynh là làm thế nào để theo dõi và hỗ trợ sự phát triển của con từng ngày.",Phúc Minh,23000,24,19500,01/07/2017,NXB Mỹ Thuật,Hết hàng,150
Song Hong Bing,Chiến Tranh Tiền Tệ,"đề cập đến một cuộc chiến khốc liệt, không khoan nhượng và dai dẳng giữa một nhóm nhỏ các ông trùm tài chính - đứng đầu là gia tộc Rothschild - với các thể chế tài chính kinh tế của nhiều quốc gia. Đó là một cuộc chiến mà đồng tiền là súng đạn và mức sát thương thật là ghê gớm. Một cuốn sách thực sự làm sửng sốt với những ai muốn tìm hiểu về bản chất tiền tệ để từ đó nhận ra những hiểm hoạ tài chính tiềm ẩn nhằm chuẩn bị tâm lý cho một cuộc chiến tiền tệ “không đổ máu”.",Bách Việt,138000,520,117000,25/07/2017,NXB Thông Tin & Truyền Thông,Hết hàng,670
Hoàng Lê,Tuổi Trẻ Có Chí Thì Đi,"Dưới hình thức những chuyện kể, tác giả cũng đưa ra rất nhiều bài học và kinh nghiệm quý báu về: (1) cách học IELTS hiệu quả, (2) kinh nghiệm học tập hiệu quả ở Úc; (3) kinh nghiệm tìm học bổng tiến sĩ ở Úc; (4) những kinh nghiệm thiết thực về cuộc sống ở Úc.",Văn Việt,79000,212,67000,25/07/2017,NXB Thế Giới,Hết hàng,350
Vũ Minh Đức,Những Ngày Ở Châu Âu,"Điều đáng sợ nhất của tuổi trẻ không phải là thất tình, thất nghiệp mà đáng sợ nhất là uể oải trong một vòng luẩn quẩn buồn tẻ và rồi ngày ngày thất vọng về bản thân.",SkyBooks,86000,256,73000,12/07/2017,NXB Thế Giới,Hết hàng,400
William Thorndike,CEO Lệch Chuẩn,,Thái Hà,69000,242,58500,15/08/2017,NXB Thế Giới,Hết hàng,380
Robin Mc Clure,Gia Đình Là Trường Học Đầu Tiên Của Con,"Khi trở thành chỗ dựa vững chãi cho con trong những bước trưởng thành đầu tiên, ba mẹ không chỉ giúp con cứng cáp, đạt được thành tích cao trong học tập, mà quan trọng hơn, sẽ giúp con ngày thêm cứng cáp và luôn đón nhận cuộc sống bằng một tinh thần tích cực.",1980 Books,79000,228,67000,17/07/2017,NXB Dân Trí,Hết hàng,380
Tố Hữu,Tố Hữu Thơ,Tuyển tập thơ Tố Hữu là một nguồn mạch quan trọng tạo nên khuôn mặt đẹp của thơ ca Việt Nam hiện đại.,Minh Thắng,95000,684,80500,19/01/2011,NXB Văn Học,Hết hàng,840
Quỳnh Như,Xanh Trong Chai,"“Xanh ở trong chai, nên gọi là",Văn Lang,87000,248,73500,12/06/2017,NXB Văn Học,Hết hàng,370
Maristella Botticini,Số Ít Được Lựa Chọn,Số ít được lựa chọn,Thái Hà,129000,495,109500,Đang,NXB Lao Động Xã Hội,Hết hàng,650
PAUL KALANITHI,Khi Hơi Thở Hóa Thinh Không (Tái Bản 2020),,Alphabooks,109000,236,92500,31/03/2020,NXB Lao Động Xã Hội,Hết hàng,360
Ngô Thúy Nga,"Mùa Này, Sao Cứ Dài Nhung Nhớ","“Tàn một mùa quỳ rồi. Người xưa giờ nơi đâu? Tôi đã từng hẹn với K, sẽ về núi khi quỳ trổ bông những cung đường. Thi thoảng trong giấc mơ, tôi thấy tôi là nhành cúc quỳ, tàn rụi trong nắng đông xám ngắt. Năm đó, tôi lỗi hẹn. Hết đông, và tàn mùa hoa rồi, mà tôi vẫn lênh đênh giữa dòng đời, chẳng còn đủ bình yên để về tìm K, cười với nhau một nụ cười rồi đi tìm những bông quỳ còn sót lại.",Văn Lang,65000,184,55000,19/06/2017,NXB Văn Học,Hết hàng,300
Kim Ji Ho,Bác Sĩ Kính Coong 1 - Cháu Muốn Mình Cao Lớn!,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,01/06/2017,NXB Giáo Dục,Hết hàng,100
Kim Ji Ho,Bác Sĩ Kính Coong 2 - Bé Bị Sổ Mũi,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,02/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 3 - Vi Khuẩn Là Gì?,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,03/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 4 - Làm Gì Khi Bé Bị Sốt?,"Sách được mua bản quyền từ Hàn Quốc, nội dung đơn giản mà thú vị, hình ảnh minh hoạ bắt mắt, ngộ nghĩnh, đáng yêu.",Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,04/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 5 - Con Đau Bụng Quá!,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,05/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 9 - Sơ Cứu Khi Khẩn Cấp,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,09/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 7 - Béo Phì Xấu Lắm!,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,07/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 6 - Ngứa Quá Đi Thôi!,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,06/06/2017,NXB Giáo Dục,Hết hàng,100
Hwang Hasuk,Bác Sĩ Kính Coong 8 - Con Không Tè Dầm Nữa!,Bộ,Công ty CP Mĩ Thuật và Truyền Thông,32000,31,27000,08/06/2017,NXB Giáo Dục,Hết hàng,100
Anne Rogers Smyth,Cuốn sách Về Tình Yêu Thương  - Lời Cảm Ơn,"Cuốn sách này chính là cách tuyệt vời nhất để thể hiện lòng biết ơn của bạn với những con người khiến cuộc sống tươi sáng hơn và trái tim ta hạnh phúc hơn. Đó có thể là cha mẹ, bạn bè, anh chị em, bạn đời, đồng nghiệp, thầy cô, người đỡ đầu hay bất cứ ai đã tạo nên sự khác biệt và khiến cuộc sống thêm phong phú. Bộ sưu tập hình ảnh động vật đáng yêu kết hợp cùng những lời tri ân mang đầy cảm hứng trong Lời cảm ơn sẽ giúp mọi người cảm nhận được bạn quan tâm tới họ nhiều đến thế nào.",NXB Kim Đồng,50000,92,42500,01/07/2017,NXB Kim Đồng,Hết hàng,242
Joanne Fluke,Manh Mối Tử Thần,,Bách Việt,122000,470,103500,31/07/2017,NXB Lao Động Xã Hội,Hết hàng,600
Rachel Buchholz,Cuốn Sách Về Tình Yêu Thương - Thế Giới Đang Đợi Ta,"Bạn sẽ chẳng thể biết cuộc đời ẩn chứa những gì cho tới khi lên đường tìm kiếm. Thế giới đang chờ ta là cuốn sách dành cho những người muốn mở con đường cho riêng mình và dũng cảm đối diện với bất cứ thử thách nào gặp phải. Phù hợp với những người mê phiêu lưu ở mọi lứa tuổi, niềm cảm hứng trong Thế giới đang chờ ta đến từ thế giới động vật, như chiến thuật tồn tại khôn ngoan của cáo lửa hay sức mạnh không ngờ của kiến cắt lá tí hon.",NXB Kim Đồng,50000,92,42500,01/07/2017,NXB Kim Đồng,Hết hàng,242
Anne Rogers Smyth,Cuốn Sách Về Tình Yêu Thương - Mãi Mãi Là Bạn,"Một món quà tuyệt vời để tặng bạn bè. Bộ sưu tập các câu châm ngôn này vừa dí dỏm vừa tràn đầy cảm hứng, đi kèm với những bức ảnh động vật đáng yêu, là một cách dung dị và xúc động để đề cao giá trị của tình bạn đích thực. Thông thái và hài hước, Mãi mãi là bạn sẽ giúp truyền đạt niềm cảm kích của bạn tới những người bạn đặc biệt trong đời một cách vui nhộn và đầy ý nghĩa.",NXB Kim Đồng,50000,92,42500,21/07/2017,NXB Kim Đồng,Hết hàng,242
Đức Cha Adriano di St. Thecla,Luận Về Các Phái Của Người Trung Hoa Và Đàng Ngoài,"Olga Dror (người dịch tác phẩm sang tiếng Anh) đã phát hiện tư liệu này trong Thư khố Hội Truyền giáo Hải ngoại ở Paris khi đang tìm tài liệu về tín ngưỡng Chúa Liễu Hạnh, một đề tài luận án mà Bà đang thực hiện. Trong cuốn sách này, tư liệu mà Bà đã tìm được làm thay đổi toàn bộ tiến trình thực hiện luận án của mình. Cuốn sách thu hút Bà đến nỗi không thể không đọc tiếp toàn bộ nó và xác quyết rằng tác phẩm này cần phải được phổ  biến rộng rãi tới giới chuyên gia quan tâm đến Việt nam, Trung Hoa, và hoạt động truyền giáo. Vì vậy mà Bà đã ngừng luận án về Liễu Hạnh của mình để tập trung vào tư liệu này nhằm đưa nó ra ánh sáng sau khoảng 250 năm bị lãng quên.",Alphabooks,169000,496,143500,31/05/2017,NXB Thế Giới,Hết hàng,640
Dan Brown,Pháo Đài Số ( Tái Bản 2021),Cho đến khi nó đụng độ,Bách Việt,199000,584,169000,01/04/2017,NXB Lao Động Xã Hội,Hết hàng,834
Edward de Bono,Dạy Con Trẻ Cách Tư Duy,"Tương lai phát triển thịnh vượng của thế giới sẽ rất cần những con người có tư duy tốt. Mặc dù nhu cầu của cuộc sống hàng ngày đã luôn đòi hỏi chúng ta phải có tư duy tốt, nhưng chúng ta thậm chí còn phải tư duy tốt hơn nữa khi các nhu cầu và cơ hội ngày càng trở nên phức tạp trong tương lai.",Alphabooks,119000,419,101000,07/07/2017,NXB Thế Giới,Hết hàng,560
Maeve Binchy,Tuần Lễ Náu Mình,"“Trong trang trại của gia đình Ryan ở thị trấn Stoneybridge, mọi công việc đều được phân công rõ ràng. Các cậu con trai giúp đỡ cha việc đồng áng, sơn sửa hàng rào, chăn bò, vắt sữa, và đánh luồng trồng khoai tay; Mary cho gia súc ăn, Kathleen lo việc bếp núc còn Geraldine chăm sóc đàn gà. Người nhà chả mấy khi gọi Geraldine là Geraldine vì trong thâm tâm họ, tên cô là Chicky - một cô gái bé bỏng làm nhiệm vụ nhặt trứng và cho gà ăn hàng ngày…",NXB Phụ Nữ,130000,508,110500,10/04/2017,NXB Phụ Nữ,Hết hàng,650
Angela Marsons,Trò Chơi Ác Quỷ,"Một kẻ từng là thủ phạm hiếp dâm bị tấn công và giết chết một cách tàn bạo. Thanh tra Kim Stone và đồng nghiệp bắt tay vào truy tìm thủ phạm. Nhưng khi có thêm nhiều vụ giết người trả thù được phát hiện, mọi người nhận ra rằng, phía sau những tội ác đó là một kẻ thâm độc hơn rất nhiều.Thanh tra Kim nhanh chóng tham gia điều tra và thu thập thông tin, rồi nhận ra mình đang tiếp xúc với một đối tượng nguy hiểm hơn, rơi vào tầm ngắm của kẻ đó và trở thành vật thí nghiệm của hắn.Đối đầu với một tên tội phạm tâm thần - một kẻ biết rõ mình tới chân tơ kẽ tóc, vì thế mỗi động thái Thanh tra Stone thực hiện đều có thể gây chết người. Khi những người bị giết hại dần có mối liên quan tới nhau, Kim phải điều tra tìm hiểu rõ căn cơ để ngăn chặn những vụ giết người kế tiếp.",Cổ Nguyệt,125000,500,106000,08/06/2017,NXB Văn Học,Hết hàng,650
Dave Trott,Sáng Tạo Thần Sầu,Chuyện bàn nhậu về đời sáng tạo!,WeCreate,124000,Đang,105000,20/06/2017,NXB Văn Hoá - Văn Nghệ,Hết hàng,310
Thâm Giang Trần Gia Ninh,Kim Thiếp Vũ Môn,"là tác phẩm viết theo kiểu chương hồi, với độ dày hơn 400 trang, lấy bối cảnh",NXB Văn Học,139000,411,118000,01/05/2017,NXB Văn Học,Hết hàng,550
Băng Sơn,Thú Ăn Chơi Người Hà Nội - Tập 1,,Huy Hoàng,86000,296,73000,01/07/2017,NXB Hà Nội,Hết hàng,450
Phong Điệp,Nhật Kí Sẻ Đồng: Những Rắc Rối Ở Trường Mầm Non,"Khi ở nhà, lúc tới trường… hành trình ngăn ngắn đơn giản vậy thôi mà “bà chị” Sẻ Đồng và em Cún nhỏ đã gặp rất nhiều điều bất ngờ, thậm chí có cả những rắc rối, rồi cả… giận dỗi nữa.",NXB Kim Đồng,25000,108,21000,01/07/2017,NXB Kim Đồng,Hết hàng,250
Nhiều tác giả,Nuôi Dưỡng Tâm Hồn - Mèo Con - 30 Phút Kể Chuyện Mỗi Ngày Giúp Bé Có Tư Duy Sáng Tạo Và Linh Hoạt Hơn (Bộ 6 Cuốn),Bộ truyện tranh theo Phương Pháp Shichida giúp bé:,NXB Kim Đồng,150000,120,127500,30/07/2017,NXB Kim Đồng,Hết hàng,500
Đặng Hoàng Xa,Câu Chuyện Do Thái 2 (tái bản 2018),"Có thể nhận thấy rằng, trong suốt chiều dài mấy ngàn năm lịch sử, văn hóa Do Thái đã không ngừng thay đổi và phát triển đa dạng với muôn màu sắc, mặc dù không ngừng bị tấn công và phỉ báng. Câu chuyện Do Thái, từ mọi góc độ lịch sử, nhân chủng và văn hóa, có thể nói là hấp dẫn và đầy dụ hoặc, cũng thật rối rắm, như một búi chỉ mong manh trong lịch sử nhân loại.",Alphabooks,168000,380,142500,30/05/2016,NXB Kinh Tế TP.HCM,Hết hàng,520
Aleksei Varlamov,Ra Đời,"Giờ thì hãy tự thay đổi tên nhân vật tùy ý, hãy thử đo ni cho câu chuyện của mình. Ai có thể nói chuyện này không xảy ra với chúng ta ? Và không nhất thiết câu chuyện này chỉ ập đến khi một đứa bé chào đời, nó hoàn toàn có thể lặp lại trong bất cứ gia đình nào mà trong đó tình yêu đã nhường chỗ cho sự cam chịu thờ ơ...",NXB Phụ Nữ,56000,172,47500,21/07/2017,NXB Phụ Nữ,Hết hàng,300
Trần Việt Trung,Thầy Thiên Đức,uốn sách,NXB Kim Đồng,63000,280,53500,30/11/2016,NXB Kim Đồng,Hết hàng,430
Pascale Perrier,Hạnh Phúc Trong 5 Lá Thư Của Mẹ,"Chloe, 15 tuổi, bỗng phải học cách sống một mình trước cái hết đột ngột của mẹ, do bà vừa bị phát hiện có một khối u trong não, bệnh phát triển nhanh và đã không qua khỏi khi phẫu thuật. Vâng, thì cũng không hẳn là một mình, bởi cô bé còn có chị gái Joséphine 19 tuổi và anh trai Gaspard 17 Tuổi. Joséphine là sinh viên Y khoa và đồng thời là người bảo mẫu cho những đứa em, theo di chúc của mẹ. Gaspard ham thích trò chơi điện tử và nhạc Opera. Bố mẹ họ đã li dị từ lâu và người cha hiện sống với một người vợ khác ở một hòn đảo nhỏ nằm tận biển Thái Bình Dương, họ có thêm bốn người con khác. Chloe sống trong một khung cảnh mà hình như cô cảm thấy ai cũng bận rộn, hai anh chị lớn hình như không bị cái chết của mẹ làm xáo trộn đời sống của họ. Đôi lúc, Chloe nghĩ rằng em bị bỏ rơi, và lúc ấy, những kỉ niệm về mẹ lại trỗi dậy cùng với sự tủi thân thường thấy nơi trẻ đang lớn.",Bách Việt,78000,256,66000,24/07/2017,NXB Dân Trí,Hết hàng,400
Dr. Catherine Dolto,Tưởng Là Chuyện Nhỏ - Nói Dối Có Xấu Không + Tức Giận,"Tưởng là chuyện nhỏ, mà không nhỏ chút nào!",Alphabooks,45000,45,38000,30/07/2017,NXB Dân Trí,Hết hàng,250
Dr. Catherine Dolto,"Tưởng Là Chuyện Nhỏ: Tôn Trọng Cơ Thể Mình - Tè Dầm, Ôi Ngượng Quá","Tưởng là chuyện nhỏ, mà không nhỏ chút nào!",Alphabooks,45000,45,38000,30/07/2017,NXB Dân Trí,Hết hàng,250
Dr. Catherine Dolto,Tưởng Là Chuyện Nhỏ - Mẹ Của Chúng Mình + Khi Chúng Mình Có Em,"Tưởng là chuyện nhỏ, mà không nhỏ chút nào!",Alphabooks,45000,45,38000,30/07/2017,NXB Dân Trí,Hết hàng,250
Dr. Catherine Dolto,Tưởng Là Chuyện Nhỏ: Nếu Phải Sống Riêng Với Bố Hoặc Mẹ - Khi Chúng Mình Là Con Nuôi,"Tưởng là chuyện nhỏ, mà không nhỏ chút nào!",Alphabooks,45000,45,38000,30/07/2017,NXB Dân Trí,Hết hàng,250
Chris McNab,Lịch Sử Thế Giới Qua 100 Loại Vũ Khí,"Chiến tranh là động lực của lịch sử, và các loại vũ khí là một nhân tố không thể thiếu để tiến hành chiến tranh. Việc nhìn nhận lịch sử thế giới qua lăng kính của các phát minh quân sự đòi hỏi người viết phải có bề dày kiến thức và khả năng liên kết giữa các sự kiện lịch sử với mỗi loại vũ khí riêng rẽ, và không ai có thể làm điều này tốt hơn",Nhã Nam,350000,385,297500,29/06/2017,NXB Thế Giới,Hết hàng,585
Klaus Baumgart,Ngôi Sao Hiểu Lòng Tôi - Đi Tìm Ông Già Noel,"Cậu bé Tommy, em trai của Lẩu, háo hức mong chóng tới lễ Giáng Sinh. Nhưng bố mẹ thì bận túi bụi, còn mấy ông già Noel ở trung tâm thương mại thì rõ là “hàng rởm”! Tommy rầu rĩ nghĩ, trên đời đúng là không có ông già Noel thật rồi.",NXB Kim Đồng,35000,52,29500,30/07/2017,NXB Kim Đồng,Hết hàng,200
Nathalie Nguyen,Để Con Vào Bếp,"hóc con đứng trên một cái ghế đẩu ở trong nhà bếp, mặc chiếc tạp dề to như cái váy xòe của mẹ và nuốt hết cả người, loay hoay cắt thái, vừa làm vừa nhảy nhót vì thích thú bởi trong bếp... bé là đầu bếp thực thụ.",Văn Việt,96000,96,81500,30/07/2017,NXB Thế Giới,Hết hàng,396
Tiểu Quyên,Những Cánh Cửa Đều Mở,Tin tôi đi.,Phương Nam,52000,189,44000,01/07/2017,NXB Trẻ,Hết hàng,340
La Quán Trung,Tam Quốc Diễn Nghĩa (Bộ 3 Tập),"- Lời giới thiệu bộ Tam Quốc diễn nghĩa của NXB Phổ thông – Bộ Văn hóa, 1959 – 1960",Đông A,259000,"1,898",220000,30/07/2017,NXB Văn Học,Hết hàng,"2,500"
Jennifer Scott,20 Bí Mật Sành Điệu Từ Madame Chic (Tái Bản 2020),"Mỗi chương sách là một bí mật thanh lịch mà Jennifer học được từ Madame Chic và cuộc sống tại Paris. Đó là những bí quyết  mà chắc chắn bạn sẽ dần thực hiện được – dù cho bạn sống ở nơi nào, hay túi tiền có hạn hẹp ra sao. Bởi tất cả đều bắt đầu từ chính những thói quen nhỏ nhặt, cách suy nghĩ và thái độ của bạn với cuộc sống. Những bí mật từ nước Pháp trong cuốn sách này không chỉ giúp bạn sống đẹp, sống khỏe mà còn là thực sự sống một cuộc đời đầy đam mê.",AZ Việt Nam,99000,336,84000,12/02/2020,NXB Thế Giới,Hết hàng,486
Bùi Sao,Những Tấm Gương Vượt Lên Nghịch Cảnh,"Cuộc sống luôn đầy rẫy những khó khăn mà chúng ta phải vượt qua. Không có con đường thành công nào chỉ trải toàn hoa hồng. Những người nhận ra giá trị chân thực của cuộc sống luôn biết cách làm cho mình mạnh mẽ và vượt qua những điều tưởng chừng như không thể vượt qua được. Đấu tranh với nghịch cảnh, và chinh phục chúng, là hạnh phúc lớn nhất của con người.",Đông Tây,65000,215,55000,30/07/2017,NXB Dân Trí,Hết hàng,365
Lam Linh,Yếm Đào Du Ký - Phụ Nữ Và Những Chuyến Đi,"Yếm Đào Du Ký là cuốn nhật ký nhỏ của một người phụ nữ dành hơn 10 năm tung tẩy trên những cung đường, những miền đất lạ mà quen.",Alphabooks,99000,364,84000,30/07/2017,NXB Phụ Nữ,Hết hàng,514
J.C. Michaels,Bụng Lửa - Hành Trình Khám Phá Tư Duy Con Người,Một cô bé ao ước bố mẹ mình quay trở lại sống cùng nhau.,NXB Kim Đồng,86000,292,73000,31/07/2017,NXB Kim Đồng,Hết hàng,442
T.s Carolyn Crowder,Tương Lai Con Trong Tay Bạn,"Có đứa trẻ nào lại không ương bướng? Và đã bao nhiêu lần, vì sự bướng bỉnh đó mà con cư xử hỗn hào, khiến bạn chỉ muốn nổi trận lôi đình và kỷ luật con thật nghiêm khắc?",1980 Books,85000,224,72000,31/07/2017,NXB Dân Trí,Hết hàng,374
