Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
A. G. Howard,Mất Trí,"Alyssa đã xuống được hang thỏ và được trao chiếc vương miện của Nữ hoàng. Cô đã cứu sống Jeb, chàng trai mà cô yêu, và thoát khỏi những âm mưu của Morpheus. Giờ đây tất cả những gì Alyssa cần làm là tốt nghiệp trung học. Việc này sẽ rất đơn giản mà không cần đến mẹ cô, người vừa mới trở về từ bệnh viện tâm thần, với những mối nghi ngờ và bảo bọc cô quá kỹ. Và cũng sẽ dễ dàng hơn nhiều nếu Morpheus không xuất hiện ở trường học để dụ dỗ cô với một nhiệm vụ nguy hiểm trong bóng tối, với những thách thức ở nơi mà một phần con người cô thuộc về - Xứ sở Diệu kỳ.",1980 Books,118000,590,100000,05/08/2016,NXB Lao Động Xã Hội,Hết hàng,900
Nguyễn Thị Khánh Vân,Tôi Dạy Con Tự Kỷ Như Thế,"Tác giả Nguyễn Thị Khánh Vân là người mẹ, một người mẹ tuyệt vời. Khi phát hiện chính cô con gái ruột của mình bị tự kỷ, chị đã lăn lộn tìm mọi cách, nghiên cứu rất nhiều tài liệu để điều trị cho bé. Và ông Trời không phụ công chị khi từng bước giúp con thoát khỏi tự kỷ. Hơn thế nữa giờ chị còn là một người thầy, người cô đang từng bước giúp đỡ các gia đình có con cũng bị tự kỷ. Với kinh nghiệm của mình, chị đã giúp đỡ được rất nhiều gia đình lấy lại được niềm vui khi đứa con tinh thần của mình phát triển như những bạn đồng trang lứa.",Bắc Hà,79000,230,67000,05/08/2016,NXB Dân Trí,Hết hàng,650
Kristan Higgins,Vì Đó Là Anh,"là một cuốn tiểu thuyết khôi hài về câu chuyện tình yêu của cô phóng viên 30 tuổi - Chastity. Sau một khoảng thời gian dài cố gắng bám trụ ở mảnh đất Mahattan phù hoa nhưng đầy rẫy bon chen, cô nàng đã quyết định quay trở về với nơi chôn rau cắt rốn của mình. Không đơn giản là được trở về bên gia đình cùng với bố mẹ và bốn ông anh trai. Quyết định lần này của cô còn mang một phần trách nhiệm của mình với ""đám trứng còn lại trong bụng"".",NXB Phụ Nữ,118000,420,100000,31/03/2016,NXB Phụ Nữ,Hết hàng,572
Bình Nguyên Trang,Hoa Gạo Cuối Trời,Tập,NXB Phụ Nữ,33000,128,28000,30/06/2016,NXB Phụ Nữ,Hết hàng,300
Brene Brown,Vươn Lên Từ Thất Bại,"Chúng ta có thể rất đau lòng khi nghiệm lại những câu chuyện đau thương của chính mình. Nhưng chính quá trình tranh đấu, vật lộn với thất bại đó mới thử thách lòng can đảm và rèn giũa những phẩm chất tốt đẹp nơi ta. Bất kể hoàn cảnh có nghiệt ngã thế nào, quá trình vươn lên mạnh mẽ vẫn lặp lại trăm lần như một: nghiệm lại những gì chúng ta cảm nhận, nhìn thấu vấn đề cho đến khi hiểu được chân lý, rồi rèn luyện và tạo nên một sự thay đổi to lớn cho cuộc đời mình.",Alphabooks,139000,464,118000,31/05/2016,NXB Khoa học - Xã hội,Hết hàng,600
Jonah Lehrer,Chúng Ta Quyết Định Như Thế Nào?,"Chúng ta luôn phải đưa ra quyết định cho những công việc hằng ngày, từ bình thường nhất cho đến hệ trọng nhất. Vậy, liệu bạn đã biết các quyết định của mình được não bộ định đoạt như thế nào chăng ?",Alphabooks,149000,450,126500,30/08/2016,NXB Lao Động Xã Hội,Hết hàng,700
Quỷ Cổ Nữ,Đau Thương Đến Chết (Trọn Bộ 2 Tập),Đa tình là niềm đau,IPM,220000,Đang,187000,06/08/2016,NXB Hội Nhà Văn,Hết hàng,"1,300"
Sano Yoko,Con Mèo Triệu Kiếp,,Nhã Nam,80000,32,68000,30/07/2016,NXB Hội Nhà Văn,Hết hàng,100
Võ Diệu Thanh,Tiền Của Thần Cây,chia làm 4 phần nhỏ:,NXB Phụ Nữ,36000,119,30500,02/08/2016,NXB Phụ Nữ,Hết hàng,200
Janice Tay,Lý Quang Diệu Bàn Về Cầm Quyền,"Là một phần của ba bộ sách Lý Quang Diệu, 3 tập này tổng hợp các châm ngôn của Lý Quang Diệu từ các vấn đề gia đình cho đến chính trị. Đây là một tuyển tập giới thiệu tuyệt vời cho người cha khai sáng Singapore.",NXB Trẻ,45000,100,38000,25/08/2016,NXB Trẻ,Hết hàng,200
